n,r,m
"(:Person {name: Sarah Johnson, id: sarahJohnson})",[:HAS_SKILLS],"(:Technology {name: Python, id: python})"
"(:Person {name: Sarah Johnson, id: sarahJohnson})",[:HAS_PEOPLE],"(:Project {name: BetaHealth Secure Healthcare Data Analytics Platform on Azure, id: betahealthSecureHealthcareDataAnalyticsPlatformOnAzure})"
"(:Person {name: Sarah Johnson, id: sarahJohnson})",[:SENT],"(:SlackMessage {id: ppaa, text: David, I noticed you worked on the AlphaCorp AWS project too. How was your experience with it?})"
"(:Person {name: Sarah Johnson, id: sarahJohnson})",[:SENT],"(:SlackMessage {id: kcojvioa, text: I've been working on BetaHealth's Azure-based data analytics platform. It's a game-changer for patient care. Collaborating with healthcare professionals has been invaluable.})"
"(:Person {name: David Patel, id: davidPatel})",[:HAS_SKILLS],"(:Technology {name: AWS, id: aws})"
"(:Person {name: David Patel, id: davidPatel})",[:HAS_SKILLS],"(:Technology {name: Cloud Computing, id: cloudComputing})"
"(:Person {name: David Patel, id: davidPatel})",[:HAS_SKILLS],"(:Technology {name: DevOps, id: devOps})"
"(:Person {name: David Patel, id: davidPatel})",[:HAS_SKILLS],"(:Technology {name: Data Warehousing, id: dataWarehousing})"
"(:Person {name: David Patel, id: davidPatel})",[:SENT],"(:SlackMessage {id: gfdd, text: Sarah, it was quite challenging but rewarding. We've seen significant cost reductions and improved deliveries in their supply chain.})"
"(:Person {name: David Patel, id: davidPatel})",[:SENT],"(:SlackMessage {id: asjdnifkjasd, text: AlphaCorp's AWS-powered supply chain optimization project has been both challenging and rewarding. AWS services like EC2 and SageMaker have made a real difference.})"
"(:Person {name: Amanda Rodriguez, id: amandaRodriguez})",[:HAS_SKILLS],"(:Technology {name: Azure, id: azure})"
"(:Person {name: Amanda Rodriguez, id: amandaRodriguez})",[:HAS_SKILLS],"(:Technology {name: Data Security, id: dataSecurity})"
"(:Person {name: Amanda Rodriguez, id: amandaRodriguez})",[:HAS_SKILLS],"(:Technology {name: Compliance, id: compliance})"
"(:Person {name: Amanda Rodriguez, id: amandaRodriguez})",[:HAS_SKILLS],"(:Technology {name: Healthcare Regulations, id: healthcareRegulations})"
"(:Person {name: Amanda Rodriguez, id: amandaRodriguez})",[:HAS_PEOPLE],"(:Project {name: BetaHealth Secure Healthcare Data Analytics Platform on Azure, id: betahealthSecureHealthcareDataAnalyticsPlatformOnAzure})"
"(:Person {name: Amanda Rodriguez, id: amandaRodriguez})",[:SENT],"(:SlackMessage {id: asdffjasd, text: Data security and compliance have been my top priorities in BetaHealth's Azure project. It's vital to protect patient information while advancing healthcare.})"
"(:Person {name: Jason Mitchell, id: jasonMitchell})",[:HAS_SKILLS],"(:Technology {name: Machine Learning, id: machineLearning})"
"(:Person {name: Jason Mitchell, id: jasonMitchell})",[:HAS_SKILLS],"(:Technology {name: Data Analytics, id: dataAnalytics})"
"(:Person {name: Jason Mitchell, id: jasonMitchell})",[:HAS_SKILLS],"(:Technology {name: Azure, id: azure})"
"(:Person {name: Jason Mitchell, id: jasonMitchell})",[:HAS_SKILLS],"(:Technology {name: Data Warehousing, id: dataWarehousing})"
"(:Person {name: Jason Mitchell, id: jasonMitchell})",[:HAS_PEOPLE],"(:Project {name: GammaTech Smart Logistics Platform on Azure, id: gammaTechSmartLogisticsPlatformOnAzure})"
"(:Person {name: Jason Mitchell, id: jasonMitchell})",[:SENT],"(:SlackMessage {id: fgtttta, text: Emily, real-time logistics is all about efficiency. Azure IoT Hub and Functions have made our logistics operations highly responsive.})"
"(:Person {name: Jason Mitchell, id: jasonMitchell})",[:SENT],"(:SlackMessage {id: lklklkhg, text: Working on GammaTech's Azure-based smart logistics platform has been fascinating. Real-time logistics management is transforming the transportation industry.})"
"(:Person {name: Emily Turner, id: emilyTurner})",[:HAS_SKILLS],"(:Technology {name: Azure, id: azure})"
"(:Person {name: Emily Turner, id: emilyTurner})",[:HAS_SKILLS],"(:Technology {name: Python, id: python})"
"(:Person {name: Emily Turner, id: emilyTurner})",[:HAS_SKILLS],"(:Technology {name: IoT, id: iot})"
"(:Person {name: Emily Turner, id: emilyTurner})",[:HAS_SKILLS],"(:Technology {name: Real-time Data Management, id: realTimeDataManagement})"
"(:Person {name: Emily Turner, id: emilyTurner})",[:HAS_PEOPLE],"(:Project {name: GammaTech Smart Logistics Platform on Azure, id: gammaTechSmartLogisticsPlatformOnAzure})"
"(:Person {name: Emily Turner, id: emilyTurner})",[:SENT],"(:SlackMessage {id: lopyyy, text: Jason, I'm curious about your experience with real-time logistics in the GammaTech project. Any key takeaways?})"
"(:Person {name: Emily Turner, id: emilyTurner})",[:SENT],"(:SlackMessage {id: jtthh, text: The IoT integration in GammaTech's Azure project is exciting. Azure technologies have truly revolutionized how we manage logistics operations.})"
"(:Person {name: Michael Clark, id: michaelClark})",[:HAS_SKILLS],"(:Technology {name: Python, id: python})"
"(:Person {name: Michael Clark, id: michaelClark})",[:HAS_SKILLS],"(:Technology {name: AWS, id: aws})"
"(:Person {name: Michael Clark, id: michaelClark})",[:HAS_SKILLS],"(:Technology {name: Data Warehousing, id: dataWarehousing})"
"(:Person {name: Michael Clark, id: michaelClark})",[:HAS_SKILLS],"(:Technology {name: Data Engineering, id: dataEngineering})"
"(:Person {name: Michael Clark, id: michaelClark})",[:HAS_PEOPLE],"(:Project {name: AlphaCorp AWS-Powered Supply Chain Optimization Platform, id: alphaCorpAWSPoweredSupplyChainOptimizationPlatform})"
"(:Person {name: Michael Clark, id: michaelClark})",[:SENT],"(:SlackMessage {id: ytthf, text: The data engineering challenge in AlphaCorp's AWS project has been rewarding. AWS services like EC2 and SageMaker have driven cost reductions.})"
"(:Person {name: Michael Clark, id: michaelClark})",[:SENT],"(:SlackMessage {id: gapaa, text: Olivia, it's been fascinating. We've uncovered insights that have led to cost reductions and better on-time deliveries. Real-time monitoring is key.})"
"(:Person {name: Jessica White, id: jessicaWhite})",[:HAS_SKILLS],"(:Technology {name: Healthcare Regulations, id: healthcareRegulations})"
"(:Person {name: Jessica White, id: jessicaWhite})",[:HAS_SKILLS],"(:Technology {name: Data Privacy, id: dataPrivacy})"
"(:Person {name: Jessica White, id: jessicaWhite})",[:HAS_SKILLS],"(:Technology {name: Security Compliance, id: securityCompliance})"
"(:Person {name: Jessica White, id: jessicaWhite})",[:HAS_SKILLS],"(:Technology {name: Azure Key Vault, id: azureKeyVault})"
"(:Person {name: Jessica White, id: jessicaWhite})",[:HAS_PEOPLE],"(:Project {name: BetaHealth Secure Healthcare Data Analytics Platform on Azure, id: betahealthSecureHealthcareDataAnalyticsPlatformOnAzure})"
"(:Person {name: Jessica White, id: jessicaWhite})",[:SENT],"(:SlackMessage {id: agaer, text: Ensuring data privacy in BetaHealth's Azure project is crucial. Collaborating with healthcare professionals and implementing Azure Key Vault is a must.})"
"(:Person {name: Daniel Brown, id: danielBrown})",[:HAS_SKILLS],"(:Technology {name: DevOps, id: devOps})"
"(:Person {name: Daniel Brown, id: danielBrown})",[:HAS_SKILLS],"(:Technology {name: Cloud Architecture, id: cloudArchitecture})"
"(:Person {name: Daniel Brown, id: danielBrown})",[:HAS_SKILLS],"(:Technology {name: AWS Lambda, id: awsLambda})"
"(:Person {name: Daniel Brown, id: danielBrown})",[:HAS_SKILLS],"(:Technology {name: Azure Functions, id: azureFunctions})"
"(:Person {name: Daniel Brown, id: danielBrown})",[:HAS_PEOPLE],"(:Project {name: GammaTech Smart Logistics Platform on Azure, id: gammaTechSmartLogisticsPlatformOnAzure})"
"(:Person {name: Daniel Brown, id: danielBrown})",[:SENT],"(:SlackMessage {id: bbtgg, text: Optimizing logistics operations in GammaTech's Azure project is a great journey. Azure IoT Hub and Functions are pivotal for efficiency.})"
"(:Person {name: Olivia Martinez, id: oliviaMartinez})",[:HAS_SKILLS],"(:Technology {name: Data Analytics, id: dataAnalytics})"
"(:Person {name: Olivia Martinez, id: oliviaMartinez})",[:HAS_SKILLS],"(:Technology {name: Real-time Monitoring, id: realTimeMonitoring})"
"(:Person {name: Olivia Martinez, id: oliviaMartinez})",[:HAS_SKILLS],"(:Technology {name: Azure Monitoring, id: azureMonitoring})"
"(:Person {name: Olivia Martinez, id: oliviaMartinez})",[:HAS_PEOPLE],"(:Project {name: AlphaCorp AWS-Powered Supply Chain Optimization Platform, id: alphaCorpAWSPoweredSupplyChainOptimizationPlatform})"
"(:Person {name: Olivia Martinez, id: oliviaMartinez})",[:SENT],"(:SlackMessage {id: heaas, text: Monitoring efficiency improvements in AlphaCorp's AWS project is fascinating. AWS services like EC2 and SageMaker are making a real impact.})"
"(:Person {name: Olivia Martinez, id: oliviaMartinez})",[:SENT],"(:SlackMessage {id: pldfpaks, text: Michael, how's the monitoring going in the AlphaCorp AWS project? Any interesting insights you've gained?})"
"(:Person {name: William Lee, id: williamLee})",[:HAS_SKILLS],"(:Technology {name: Machine Learning, id: machineLearning})"
"(:Person {name: William Lee, id: williamLee})",[:HAS_SKILLS],"(:Technology {name: Predictive Modeling, id: predictiveModeling})"
"(:Person {name: William Lee, id: williamLee})",[:HAS_SKILLS],"(:Technology {name: AWS SageMaker, id: awsSageMaker})"
"(:Person {name: William Lee, id: williamLee})",[:HAS_SKILLS],"(:Technology {name: Azure Machine Learning, id: azureMachineLearning})"
"(:Person {name: William Lee, id: williamLee})",[:HAS_PEOPLE],"(:Project {name: BetaHealth Secure Healthcare Data Analytics Platform on Azure, id: betahealthSecureHealthcareDataAnalyticsPlatformOnAzure})"
"(:Person {name: William Lee, id: williamLee})",[:SENT],"(:SlackMessage {id: jsssa, text: Applying predictive modeling in BetaHealth's Azure project is exciting. Collaborating with healthcare professionals and Azure's ML capabilities are key.})"
"(:Person {name: Emma Martinez, id: emmaMartinez})",[:HAS_SKILLS],"(:Technology {name: Python, id: python})"
"(:Person {name: Emma Martinez, id: emmaMartinez})",[:HAS_SKILLS],"(:Technology {name: AWS, id: aws})"
"(:Person {name: Emma Martinez, id: emmaMartinez})",[:HAS_SKILLS],"(:Technology {name: Data Warehousing, id: dataWarehousing})"
"(:Person {name: Emma Martinez, id: emmaMartinez})",[:HAS_SKILLS],"(:Technology {name: Data Engineering, id: dataEngineering})"
"(:Person {name: Emma Martinez, id: emmaMartinez})",[:SENT],"(:SlackMessage {id: 158f781f8, text: GammaTech's Manufacturing Monitoring System has significantly reduced downtimes. Real-time monitoring is the future.})"
"(:Person {name: Emma Martinez, id: emmaMartinez})",[:SENT],"(:SlackMessage {id: e756c8aec, text: Has anyone checked the new visualization module in AlphaCorp's dashboard? The insights are so detailed.})"
"(:Person {name: Emma Martinez, id: emmaMartinez})",[:SENT],"(:SlackMessage {id: 6cffae64d, text: EpsilonFinance's Digital Wallet is so user-friendly. The integration with Google Pay APIs has made transactions smooth.})"
"(:Project {summary: , name: AlphaCorp AWS-Powered Sales Analytics Dashboard, id: alphacorpAwsPoweredSalesAnalyticsDashboard})",[:HAS_PEOPLE],"(:Person {name: Emma Martinez, id: emmaMartinez})"
"(:Project {summary: , name: AlphaCorp AWS-Powered Sales Analytics Dashboard, id: alphacorpAwsPoweredSalesAnalyticsDashboard})",[:HAS_PEOPLE],"(:Person {name: Isabella Harris, id: isabellaHarris})"
"(:Project {name: DeltaEdu Virtual Classroom Platform on AWS, id: deltaeduVirtualClassroomPlatformOnAws})",[:HAS_PEOPLE],"(:Person {name: Emma Martinez, id: emmaMartinez})"
"(:Project {name: DeltaEdu Virtual Classroom Platform on AWS, id: deltaeduVirtualClassroomPlatformOnAws})",[:HAS_PEOPLE],"(:Person {name: Benjamin White, id: benjaminWhite})"
"(:Project {name: DeltaEdu Virtual Classroom Platform on AWS, id: deltaeduVirtualClassroomPlatformOnAws})",[:HAS_PEOPLE],"(:Person {name: Isabella Harris, id: isabellaHarris})"
"(:Person {name: Noah Wilson, id: noahWilson})",[:HAS_SKILLS],"(:Technology {name: Healthcare Regulations, id: healthcareRegulations})"
"(:Person {name: Noah Wilson, id: noahWilson})",[:HAS_SKILLS],"(:Technology {name: Data Privacy, id: dataPrivacy})"
"(:Person {name: Noah Wilson, id: noahWilson})",[:HAS_SKILLS],"(:Technology {name: Security Compliance, id: securityCompliance})"
"(:Person {name: Noah Wilson, id: noahWilson})",[:HAS_SKILLS],"(:Technology {name: Azure Key Vault, id: azureKeyVault})"
"(:Person {name: Noah Wilson, id: noahWilson})",[:HAS_SKILLS],"(:Technology {name: Azure Key Vault, id: azurekeyvault})"
"(:Person {name: Noah Wilson, id: noahWilson})",[:HAS_SKILLS],"(:Technology {name: Data Privacy, id: dataprivacy})"
"(:Person {name: Noah Wilson, id: noahWilson})",[:HAS_SKILLS],"(:Technology {name: Security Compliance, id: securitycompliance})"
"(:Person {name: Noah Wilson, id: noahWilson})",[:HAS_SKILLS],"(:Technology {name: Healthcare Regulations, id: healthcareregulations})"
"(:Person {name: Noah Wilson, id: noahWilson})",[:SENT],"(:SlackMessage {id: 6ec813a60, text: Has anyone checked the new visualization module in AlphaCorp's dashboard? The insights are so detailed.})"
"(:Project {summary: , name: GammaTech IoT-Driven Manufacturing Monitoring System on Azure, id: gammatechIotDrivenManufacturingMonitoringSystemOnAzure})",[:HAS_PEOPLE],"(:Person {name: Noah Wilson, id: noahWilson})"
"(:Project {summary: , name: GammaTech IoT-Driven Manufacturing Monitoring System on Azure, id: gammatechIotDrivenManufacturingMonitoringSystemOnAzure})",[:HAS_PEOPLE],"(:Person {name: Benjamin White, id: benjaminWhite})"
"(:Person {name: Ava Jackson, id: avaJackson})",[:HAS_SKILLS],"(:Technology {name: DevOps, id: devOps})"
"(:Person {name: Ava Jackson, id: avaJackson})",[:HAS_SKILLS],"(:Technology {name: Cloud Architecture, id: cloudArchitecture})"
"(:Person {name: Ava Jackson, id: avaJackson})",[:HAS_SKILLS],"(:Technology {name: AWS Lambda, id: awsLambda})"
"(:Person {name: Ava Jackson, id: avaJackson})",[:HAS_SKILLS],"(:Technology {name: Azure Functions, id: azureFunctions})"
"(:Person {name: Ava Jackson, id: avaJackson})",[:HAS_SKILLS],"(:Technology {name: Azure Functions, id: azurefunctions})"
"(:Person {name: Ava Jackson, id: avaJackson})",[:HAS_SKILLS],"(:Technology {name: Cloud Architecture, id: cloudarchitecture})"
"(:Person {name: Ava Jackson, id: avaJackson})",[:HAS_SKILLS],"(:Technology {name: DevOps, id: devops})"
"(:Person {name: Ava Jackson, id: avaJackson})",[:HAS_SKILLS],"(:Technology {name: AWS Lambda, id: awslambda})"
"(:Person {name: Ava Jackson, id: avaJackson})",[:SENT],"(:SlackMessage {id: 6674380b6, text: The personalized learning paths suggested by our AI model for DeltaEdu are spot on. Kudos to the team!})"
"(:Person {name: Ava Jackson, id: avaJackson})",[:SENT],"(:SlackMessage {id: 944dd6bb6, text: Has anyone checked the new visualization module in AlphaCorp's dashboard? The insights are so detailed.})"
"(:Project {name: EpsilonFinance Mobile-First Digital Wallet on Google Cloud, id: epsilonfinanceMobileFirstDigitalWalletOnGoogleCloud})",[:HAS_PEOPLE],"(:Person {name: Ava Jackson, id: avaJackson})"
"(:Person {name: Benjamin White, id: benjaminWhite})",[:HAS_SKILLS],"(:Technology {name: Data Analytics, id: dataAnalytics})"
"(:Person {name: Benjamin White, id: benjaminWhite})",[:HAS_SKILLS],"(:Technology {name: Real-time Monitoring, id: realTimeMonitoring})"
"(:Person {name: Benjamin White, id: benjaminWhite})",[:HAS_SKILLS],"(:Technology {name: Azure Monitoring, id: azureMonitoring})"
"(:Person {name: Benjamin White, id: benjaminWhite})",[:HAS_SKILLS],"(:Technology {name: Real-time Monitoring, id: realtimemonitoring})"
"(:Person {name: Benjamin White, id: benjaminWhite})",[:HAS_SKILLS],"(:Technology {name: Azure Monitoring, id: azuremonitoring})"
"(:Person {name: Benjamin White, id: benjaminWhite})",[:HAS_SKILLS],"(:Technology {name: Data Analytics, id: dataanalytics})"
"(:Person {name: Benjamin White, id: benjaminWhite})",[:SENT],"(:SlackMessage {id: 241c3938c, text: Has anyone checked the new visualization module in AlphaCorp's dashboard? The insights are so detailed.})"
"(:Person {name: Benjamin White, id: benjaminWhite})",[:SENT],"(:SlackMessage {id: f230a0f7a, text: The remote monitoring in BetaHealth's Telemedicine Platform ensures continuous patient care. Azure's scalability made it possible.})"
"(:Project {summary: , name: DeltaEdu AI-Powered Student Performance Analytics on AWS, id: deltaeduAiPoweredStudentPerformanceAnalyticsOnAws})",[:HAS_PEOPLE],"(:Person {name: Benjamin White, id: benjaminWhite})"
"(:Person {name: Isabella Harris, id: isabellaHarris})",[:HAS_SKILLS],"(:Technology {name: Machine Learning, id: machineLearning})"
"(:Person {name: Isabella Harris, id: isabellaHarris})",[:HAS_SKILLS],"(:Technology {name: Predictive Modeling, id: predictiveModeling})"
"(:Person {name: Isabella Harris, id: isabellaHarris})",[:HAS_SKILLS],"(:Technology {name: Azure Machine Learning, id: azureMachineLearning})"
"(:Person {name: Isabella Harris, id: isabellaHarris})",[:HAS_SKILLS],"(:Technology {name: AWS SageMaker, id: awsSagemaker})"
"(:Person {name: Isabella Harris, id: isabellaHarris})",[:HAS_SKILLS],"(:Technology {name: Azure Machine Learning, id: azuremachinelearning})"
"(:Person {name: Isabella Harris, id: isabellaHarris})",[:HAS_SKILLS],"(:Technology {name: Predictive Modeling, id: predictivemodeling})"
"(:Person {name: Isabella Harris, id: isabellaHarris})",[:HAS_SKILLS],"(:Technology {name: Machine Learning, id: machinelearning})"
"(:Person {name: Isabella Harris, id: isabellaHarris})",[:HAS_SKILLS],"(:Technology {name: AWS SageMaker, id: awssagemaker})"
"(:Person {name: Isabella Harris, id: isabellaHarris})",[:SENT],"(:SlackMessage {id: afc5f40eb, text: EpsilonFinance's Digital Wallet is so user-friendly. The integration with Google Pay APIs has made transactions smooth.})"
"(:Project {summary: EpsilonFinance aims to revolutionize digital transactions with a secure and user-friendly mobile wallet. They are targeting a solution on the Google Cloud Platform that offers seamless payments, loyalty points, and offers., name: EpsilonFinance Mobile-First Digital Wallet on Google Cloud, id: epsilonfinancemobilefirstdigitalwalletongooglecloud})",[:HAS_PEOPLE],"(:Person {name: Ava Jackson, id: avaJackson})"
"(:Project {summary: EpsilonFinance aims to revolutionize digital transactions with a secure and user-friendly mobile wallet. They are targeting a solution on the Google Cloud Platform that offers seamless payments, loyalty points, and offers., name: EpsilonFinance Mobile-First Digital Wallet on Google Cloud, id: epsilonfinancemobilefirstdigitalwalletongooglecloud})",[:USES_TECH],"(:Technology {name: Google Cloud, id: googleCloud})"
"(:Project {summary: EpsilonFinance aims to revolutionize digital transactions with a secure and user-friendly mobile wallet. They are targeting a solution on the Google Cloud Platform that offers seamless payments, loyalty points, and offers., name: EpsilonFinance Mobile-First Digital Wallet on Google Cloud, id: epsilonfinancemobilefirstdigitalwalletongooglecloud})",[:USES_TECH],"(:Technology {name: Firebase, id: firebase})"
"(:Project {summary: EpsilonFinance aims to revolutionize digital transactions with a secure and user-friendly mobile wallet. They are targeting a solution on the Google Cloud Platform that offers seamless payments, loyalty points, and offers., name: EpsilonFinance Mobile-First Digital Wallet on Google Cloud, id: epsilonfinancemobilefirstdigitalwalletongooglecloud})",[:USES_TECH],"(:Technology {name: Firestore, id: firestore})"
"(:Project {summary: EpsilonFinance aims to revolutionize digital transactions with a secure and user-friendly mobile wallet. They are targeting a solution on the Google Cloud Platform that offers seamless payments, loyalty points, and offers., name: EpsilonFinance Mobile-First Digital Wallet on Google Cloud, id: epsilonfinancemobilefirstdigitalwalletongooglecloud})",[:USES_TECH],"(:Technology {name: Cloud Functions, id: cloudFunctions})"
"(:Project {summary: EpsilonFinance aims to revolutionize digital transactions with a secure and user-friendly mobile wallet. They are targeting a solution on the Google Cloud Platform that offers seamless payments, loyalty points, and offers., name: EpsilonFinance Mobile-First Digital Wallet on Google Cloud, id: epsilonfinancemobilefirstdigitalwalletongooglecloud})",[:USES_TECH],"(:Technology {name: Google Pay APIs, id: googlePayAPIs})"
